Ward and Precinct (Updated 2022),Total Population,White alone,Black or African American,Hispanic or Latino (of any Race),Asian,American Indian and Alaska Native,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Non-White Races,"Total Population,Age 18 and over","White alone, Age 18 and over","Black or African American, Age 18 and over","Hispanic or Latino (of any Race), Age 18 and over","Asian, Age 18 and over","American Indian and Alaska Native, Age 18 and over","Native Hawaiian and Other Pacific Islander, Age 18 and over","Some Other Race, Age 18 and over","Two or More Non-White Races, Age 18 and over",Total Group Quarters Population,Correctional Facilities for Adults,Juvenile Facilities,Nursing Facilities,Other Institutional Facilities,College / University Student Housing,Military Quarters,Other Noninstitutional Facilities,Total Housing Units,Occupied Housing Units,Vacant Housing Units
2010,"2,897","1,864",308,345,330,7,0,29,14,"2,286","1,528",226,240,247,6,0,27,12,16,0,0,0,0,0,0,16,"1,198","1,140",58
2011,"1,014",827,30,54,89,1,0,12,1,835,692,24,38,70,1,0,9,1,0,0,0,0,0,0,0,0,445,420,25
2012,"1,387","1,114",53,103,84,3,0,24,6,"1,131",933,33,71,65,3,0,21,5,0,0,0,0,0,0,0,0,536,517,19
2013,"1,169","1,022",25,55,39,3,0,24,1,961,846,24,39,35,3,0,14,0,7,0,0,0,0,0,0,7,526,512,14
2014,"1,223","1,075",27,48,64,0,1,7,1,948,844,23,38,38,0,0,4,1,10,0,0,0,0,0,0,10,479,472,7
2015,"2,580","1,695",193,311,286,13,8,45,29,"2,097","1,428",147,225,222,13,3,37,22,3,0,0,0,0,0,0,3,"1,089","1,045",44
2016,"2,638","1,856",193,273,255,10,2,30,19,"2,235","1,615",160,226,192,9,1,19,13,0,0,0,0,0,0,0,0,"1,257","1,208",49
2017,"2,746","2,076",110,213,252,10,0,58,27,"2,225","1,737",82,150,185,10,0,38,23,7,0,0,0,0,0,0,7,"1,219","1,145",74
2018,"1,321","1,050",70,67,108,4,0,14,8,"1,101",882,58,52,89,4,0,12,4,70,0,0,65,0,0,0,5,614,587,27
2019,"1,420","1,120",34,90,138,1,0,29,8,"1,091",904,28,55,80,1,0,20,3,0,0,0,0,0,0,0,0,556,522,34
2020,"2,807","1,971",144,248,361,4,0,66,13,"2,376","1,691",119,198,296,4,0,56,12,4,0,0,0,0,0,0,4,"1,484","1,403",81
2021,291,166,35,55,15,3,0,9,8,265,164,27,48,11,3,0,9,3,3,0,0,0,0,0,0,3,181,181,0
